date,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Summary_Breezy and Mostly Cloudy,Summary_Breezy and Overcast,Summary_Breezy and Partly Cloudy,Summary_Clear,Summary_Foggy,Summary_Mostly Cloudy,Summary_Other,Summary_Overcast,Summary_Partly Cloudy,PrecipType_null,PrecipType_rain,PrecipType_snow,Temperature (C)
2006-03-31 22:00:00,7.388888888888887,0.89,14.1197,251.0,15.826300000000002,1015.13,0,0,0,0,0,0,0,0,1,0,1,0,9.47222222222222
2006-03-31 23:00:00,7.227777777777776,0.86,14.2646,259.0,15.826300000000002,1015.63,0,0,0,0,0,0,0,0,1,0,1,0,9.355555555555558
2006-04-01 00:00:00,9.377777777777778,0.89,3.9284,204.0,14.9569,1015.94,0,0,0,0,0,1,0,0,0,0,1,0,9.377777777777778
2006-04-01 01:00:00,5.944444444444446,0.83,14.1036,269.0,15.826300000000002,1016.41,0,0,0,0,0,0,0,0,1,0,1,0,8.28888888888889
2006-04-01 02:00:00,6.977777777777779,0.83,11.0446,259.0,15.826300000000002,1016.51,0,0,0,0,0,1,0,0,0,0,1,0,8.755555555555553
2006-04-01 03:00:00,7.11111111111111,0.85,13.9587,258.0,14.9569,1016.66,0,0,0,0,0,0,0,0,1,0,1,0,9.22222222222222
2006-04-01 04:00:00,5.522222222222221,0.95,12.3648,259.0,9.982,1016.72,0,0,0,0,0,0,0,0,1,0,1,0,7.733333333333334
2006-04-01 05:00:00,6.527777777777778,0.89,14.1519,260.0,9.982,1016.84,0,0,0,0,0,0,0,0,1,0,1,0,8.77222222222222
2006-04-01 06:00:00,10.82222222222222,0.82,11.3183,259.0,9.982,1017.37,0,0,0,0,0,0,0,0,1,0,1,0,10.82222222222222
2006-04-01 07:00:00,13.77222222222222,0.72,12.525800000000002,279.0,9.982,1017.22,0,0,0,0,0,0,0,0,1,0,1,0,13.77222222222222
2006-04-01 08:00:00,16.016666666666666,0.67,17.5651,290.0,11.2056,1017.42,0,0,0,0,0,0,0,0,1,0,1,0,16.016666666666666
2006-04-01 09:00:00,17.144444444444446,0.54,19.7869,316.0,11.4471,1017.74,0,0,0,0,0,0,0,0,1,0,1,0,17.144444444444446
2006-04-01 10:00:00,17.800000000000004,0.55,21.9443,281.0,11.27,1017.59,0,0,0,0,0,0,0,0,1,0,1,0,17.800000000000004
2006-04-01 11:00:00,17.333333333333332,0.51,20.6885,289.0,11.27,1017.48,0,0,0,0,0,0,0,0,1,0,1,0,17.333333333333332
2006-04-01 12:00:00,18.87777777777778,0.47,15.375500000000002,262.0,11.4471,1017.17,0,0,0,0,0,0,0,0,1,0,1,0,18.87777777777778
2006-04-01 13:00:00,18.911111111111115,0.46,10.4006,288.0,11.27,1016.47,0,0,0,0,0,0,0,0,1,0,1,0,18.911111111111115
2006-04-01 14:00:00,15.38888888888889,0.6,14.4095,251.0,11.27,1016.15,0,0,0,0,0,0,0,0,1,0,1,0,15.38888888888889
2006-04-01 15:00:00,15.550000000000002,0.63,11.1573,230.0,11.4471,1016.17,0,0,0,0,0,1,0,0,0,0,1,0,15.550000000000002
2006-04-01 16:00:00,14.255555555555553,0.69,8.5169,163.0,11.2056,1015.82,0,0,0,0,0,1,0,0,0,0,1,0,14.255555555555553
2006-04-01 17:00:00,13.144444444444442,0.7,7.631400000000001,139.0,11.2056,1015.83,0,0,0,0,0,1,0,0,0,0,1,0,13.144444444444442
2006-04-01 18:00:00,11.55,0.77,7.3899,147.0,11.0285,1015.85,0,0,0,0,0,1,0,0,0,0,1,0,11.55
2006-04-01 19:00:00,11.183333333333334,0.76,4.9266000000000005,160.0,9.982,1015.77,0,0,0,0,0,1,0,0,0,0,1,0,11.183333333333334
2006-04-01 20:00:00,10.116666666666667,0.79,6.6493,163.0,15.826300000000002,1015.4,0,0,0,0,0,0,0,0,1,0,1,0,10.116666666666667
2006-04-01 21:00:00,10.2,0.77,3.9284,152.0,14.9569,1015.51,0,0,0,0,0,1,0,0,0,0,1,0,10.2
2006-04-09 22:00:00,10.42222222222222,0.62,16.985500000000002,150.0,15.826300000000002,1014.4,0,0,0,0,0,0,0,0,1,0,1,0,10.42222222222222
2006-04-09 23:00:00,7.566666666666666,0.66,17.2109,149.0,15.826300000000002,1014.2,0,0,0,0,0,0,0,0,1,0,1,0,9.911111111111111
2006-04-10 00:00:00,11.183333333333334,0.8,10.8192,163.0,14.9569,1008.71,0,0,0,0,0,1,0,0,0,0,1,0,11.183333333333334
2006-04-10 01:00:00,5.044444444444443,0.79,11.0768,180.0,15.826300000000002,1014.47,0,0,0,0,0,0,0,0,1,0,1,0,7.155555555555556
2006-04-10 02:00:00,4.816666666666667,0.82,6.6493,161.0,15.826300000000002,1014.45,0,0,0,0,0,0,0,0,1,0,1,0,6.111111111111111
2006-04-10 03:00:00,4.272222222222221,0.83,13.0088,135.0,14.9569,1014.49,0,0,0,0,0,0,0,0,1,0,1,0,6.788888888888888
2006-04-10 04:00:00,5.155555555555556,0.85,11.1734,141.0,6.1985,1014.52,0,0,0,0,0,1,0,0,0,0,1,0,7.26111111111111
2006-04-10 05:00:00,5.52777777777778,0.83,12.8156,150.0,8.05,1014.16,0,0,0,0,0,1,0,0,0,0,1,0,7.799999999999999
2006-04-10 06:00:00,7.933333333333334,0.78,13.7494,160.0,9.982,1014.24,0,0,0,0,0,1,0,0,0,0,1,0,9.872222222222224
2006-04-10 07:00:00,12.22222222222222,0.72,15.633100000000002,150.0,9.982,1014.25,0,0,0,0,0,1,0,0,0,0,1,0,12.22222222222222
2006-04-10 08:00:00,15.094444444444449,0.61,17.549000000000003,151.0,9.982,1013.96,0,0,0,0,0,1,0,0,0,0,1,0,15.094444444444449
2006-04-10 09:00:00,17.355555555555558,0.52,22.7815,169.0,9.982,1013.85,0,0,0,0,0,1,0,0,0,0,1,0,17.355555555555558
2006-04-10 10:00:00,19.00555555555555,0.46,23.8924,169.0,9.982,1013.04,0,0,0,0,0,1,0,0,0,0,1,0,19.00555555555555
2006-04-10 11:00:00,20.04444444444444,0.4,28.3682,170.0,9.982,1012.22,0,0,0,0,0,1,0,0,0,0,1,0,20.04444444444444
2006-04-10 12:00:00,21.05,0.4,26.9031,187.0,10.3523,1011.44,0,0,0,0,0,1,0,0,0,0,1,0,21.05
2006-04-10 13:00:00,21.18333333333333,0.37,25.6956,179.0,9.982,1010.52,0,0,0,0,0,1,0,0,0,0,1,0,21.18333333333333
2006-04-10 14:00:00,20.11666666666666,0.4,25.309200000000004,162.0,9.982,1009.83,0,0,0,0,0,1,0,0,0,0,1,0,20.11666666666666
2006-04-10 15:00:00,20.216666666666665,0.36,18.1125,161.0,10.3523,1009.26,0,0,0,0,0,1,0,0,0,0,1,0,20.216666666666665
2006-04-10 16:00:00,20.0,0.43,23.425500000000003,160.0,9.982,1008.76,0,0,0,0,0,1,0,0,0,0,1,0,20.0
2006-04-10 17:00:00,17.800000000000004,0.5,20.0445,150.0,11.2056,1008.36,0,0,0,0,0,1,0,0,0,0,1,0,17.800000000000004
2006-04-10 18:00:00,16.06111111111111,0.53,21.3969,149.0,9.982,1008.11,0,0,0,0,0,1,0,0,0,0,1,0,16.06111111111111
2006-04-10 19:00:00,15.02222222222222,0.55,21.3808,159.0,9.982,1008.15,0,0,0,0,0,1,0,0,0,0,1,0,15.02222222222222
2006-04-10 20:00:00,14.422222222222224,0.58,20.0123,159.0,15.826300000000002,1007.85,0,0,0,0,0,0,0,1,0,0,1,0,14.422222222222224
2006-04-10 21:00:00,14.255555555555553,0.59,16.5025,168.0,14.9569,1007.89,0,0,0,0,0,0,0,1,0,0,1,0,14.255555555555553
2006-04-10 22:00:00,13.77222222222222,0.6,17.0982,160.0,15.826300000000002,1007.36,0,0,0,0,0,0,0,1,0,0,1,0,13.77222222222222
2006-04-10 23:00:00,13.283333333333331,0.63,14.3612,160.0,15.826300000000002,1007.26,0,0,0,0,0,0,0,1,0,0,1,0,13.283333333333331
2006-04-11 00:00:00,5.466666666666669,0.87,22.0409,32.0,6.6976,1005.1,0,0,0,0,0,0,0,1,0,0,1,0,8.633333333333333
2006-04-11 01:00:00,11.25,0.83,11.3344,152.0,15.826300000000002,1007.01,0,0,0,0,0,0,0,1,0,0,1,0,11.25
2006-04-11 02:00:00,11.183333333333334,0.89,11.2056,180.0,9.9015,1006.73,0,0,0,0,0,0,0,1,0,0,1,0,11.183333333333334
2006-04-11 03:00:00,10.694444444444445,0.95,10.4006,161.0,6.6976,1006.59,0,0,0,0,0,0,0,1,0,0,1,0,10.694444444444445
2006-04-11 04:00:00,11.11111111111111,0.93,12.0106,140.0,5.9731000000000005,1006.34,0,0,0,0,0,1,0,0,0,0,1,0,11.11111111111111
2006-04-11 05:00:00,11.11111111111111,0.93,9.2092,103.0,10.8031,1006.09,0,0,0,0,0,1,0,0,0,0,1,0,11.11111111111111
2006-04-11 06:00:00,12.166666666666666,0.82,9.9015,113.0,10.6743,1005.97,0,0,0,0,0,0,0,0,1,0,1,0,12.166666666666666
2006-04-11 07:00:00,12.755555555555556,0.79,13.8299,129.0,10.8192,1005.63,0,0,0,0,0,0,0,0,1,0,1,0,12.755555555555556
2006-04-11 08:00:00,13.838888888888889,0.84,9.0965,159.0,10.8192,1005.83,0,0,0,0,0,0,0,0,1,0,1,0,13.838888888888889
2006-04-11 09:00:00,16.183333333333334,0.73,0.6440000000000001,207.0,10.7548,1005.97,0,0,0,0,0,0,0,0,1,0,1,0,16.183333333333334
2006-04-11 10:00:00,17.516666666666666,0.67,0.6762,153.0,10.8997,1005.64,0,0,0,0,0,1,0,0,0,0,1,0,17.516666666666666
2006-04-11 11:00:00,17.383333333333333,0.67,3.864,4.0,10.851400000000002,1005.2,0,0,0,0,0,1,0,0,0,0,1,0,17.383333333333333
2006-04-11 12:00:00,17.36111111111111,0.71,7.824600000000001,341.0,11.0768,1005.1,0,0,0,0,0,1,0,0,0,0,1,0,17.36111111111111
2006-04-11 13:00:00,17.205555555555556,0.74,15.5848,15.0,10.851400000000002,1004.65,0,0,0,0,0,1,0,0,0,0,1,0,17.205555555555556
2006-04-11 14:00:00,15.633333333333333,0.81,23.6992,348.0,10.8836,1004.04,0,0,0,0,0,1,0,0,0,0,1,0,15.633333333333333
2006-04-11 15:00:00,13.577777777777776,0.9,20.9622,321.0,7.615300000000001,1004.08,0,0,0,0,0,0,0,1,0,0,1,0,13.577777777777776
2006-04-11 16:00:00,10.911111111111111,0.86,22.395100000000003,311.0,2.6565,1004.61,0,0,0,0,1,0,0,0,0,0,1,0,10.911111111111111
2006-04-11 17:00:00,5.294444444444445,0.99,26.5006,339.0,2.6565,1004.99,0,0,0,0,1,0,0,0,0,0,1,0,8.800000000000002
2006-04-11 18:00:00,5.777777777777777,0.93,23.2162,340.0,3.815700000000001,1004.85,0,0,0,0,0,0,0,1,0,0,1,0,8.961111111111112
2006-04-11 19:00:00,4.605555555555555,0.96,25.4219,330.0,4.4919,1004.96,0,0,0,0,0,0,0,1,0,0,1,0,8.199999999999998
2006-04-11 20:00:00,3.722222222222224,0.96,28.1267,339.0,4.4436,1005.14,0,0,0,0,0,0,0,1,0,0,1,0,7.688888888888891
2006-04-11 21:00:00,4.649999999999999,0.96,19.2878,339.0,5.6833,1005.05,0,0,0,0,0,0,0,1,0,0,1,0,7.766666666666664
2006-04-11 22:00:00,5.072222222222224,0.96,20.447,341.0,3.1073,1004.8,0,0,0,0,1,0,0,0,0,0,1,0,8.199999999999998
2006-04-11 23:00:00,4.372222222222221,0.93,27.8691,19.0,3.2039,1004.89,0,0,0,0,1,0,0,0,0,0,1,0,8.177777777777777
2006-04-12 00:00:00,6.183333333333335,0.82,6.745900000000001,277.0,14.0553,1007.0,0,0,0,0,0,1,0,0,0,0,1,0,7.311111111111109
2006-04-12 01:00:00,5.038888888888889,0.93,14.9086,9.0,6.118,1004.3,0,0,0,0,0,0,0,1,0,0,1,0,7.644444444444442
2006-04-12 02:00:00,2.616666666666667,0.93,25.035500000000003,0.0,6.118,1003.68,0,0,0,0,0,0,0,1,0,0,1,0,6.622222222222224
2006-04-12 03:00:00,3.2222222222222205,0.93,19.8352,350.0,6.166300000000001,1003.86,0,0,0,0,0,0,0,1,0,0,1,0,6.683333333333334
2006-04-12 04:00:00,1.6499999999999997,0.93,28.0945,349.0,7.969500000000001,1003.57,0,0,0,0,0,0,0,1,0,0,1,0,6.0888888888888895
2006-04-12 05:00:00,1.633333333333332,0.93,27.9818,348.0,6.3434,1003.96,0,0,0,0,0,0,0,1,0,0,1,0,6.066666666666667
2006-04-12 06:00:00,1.4944444444444431,0.93,30.863700000000005,349.0,10.5455,1004.1,1,0,0,0,0,0,0,0,0,0,1,0,6.144444444444446
2006-04-12 07:00:00,2.688888888888891,0.8,32.1678,349.0,11.2056,1004.26,1,0,0,0,0,0,0,0,0,0,1,0,7.133333333333336
2006-04-12 08:00:00,3.2333333333333334,0.86,26.5328,339.0,11.27,1004.18,0,0,0,0,0,0,0,1,0,0,1,0,7.205555555555555
2006-04-12 09:00:00,3.544444444444446,0.84,28.33600000000001,339.0,10.5455,1004.23,0,0,0,0,0,1,0,0,0,0,1,0,7.566666666666666
2006-04-12 10:00:00,5.161111111111111,0.77,29.833300000000005,348.0,11.27,1004.47,0,0,0,0,0,1,0,0,0,0,1,0,8.900000000000002
2006-04-12 11:00:00,6.644444444444445,0.71,28.480900000000005,339.0,11.27,1004.52,0,0,0,0,0,1,0,0,0,0,1,0,9.961111111111112
2006-04-12 12:00:00,6.55,0.71,28.5131,338.0,11.0768,1004.29,0,0,0,0,0,1,0,0,0,0,1,0,9.888888888888888
2006-04-12 13:00:00,11.066666666666668,0.71,25.6956,320.0,11.27,1003.93,0,0,0,0,0,1,0,0,0,0,1,0,11.066666666666668
2006-04-12 14:00:00,10.116666666666667,0.76,25.3414,311.0,11.27,1004.0,0,0,0,0,0,0,0,1,0,0,1,0,10.116666666666667
2006-04-12 15:00:00,11.038888888888888,0.66,21.413000000000004,311.0,9.982,1004.3,0,0,0,0,0,0,0,1,0,0,1,0,11.038888888888888
2006-04-12 16:00:00,10.65,0.7,17.8549,310.0,14.9086,1004.0,0,0,0,0,0,0,0,1,0,0,1,0,10.65
2006-04-12 17:00:00,10.050000000000002,0.7,15.1984,328.0,9.982,1004.39,0,0,0,0,0,0,0,1,0,0,1,0,10.050000000000002
2006-04-12 18:00:00,7.716666666666667,0.66,15.7297,348.0,11.0285,1005.48,0,0,0,0,0,1,0,0,0,0,1,0,9.9
